index,n,m,Dimension,Distribution,Strategy,PSV,OPT,Plurality,Plurality Distortion,Copeland,Copeland Distortion,STV,STV Distortion,Borda,Borda Distortion,Plurality Veto,Plurality Veto Distortion
0,200,15,1D,normal,burial,0,Candidate 1,Candidate 13,1.0358298551763805,Candidate 4,2.3071135607609374,Candidate 13,1.0358298551763805,Candidate 1,1.0,Candidate 1,1.0
1,200,15,1D,normal,burial,0,Candidate 7,Candidate 5,1.0137426374211738,Candidate 1,1.008737543729555,Candidate 5,1.0137426374211738,Candidate 7,1.0,Candidate 7,1.0
2,200,15,1D,normal,burial,0,Candidate 10,Candidate 13,1.45294829626189,Candidate 0,1.2914871211953933,Candidate 12,1.0637543607789997,Candidate 6,1.0008691289523588,Candidate 10,1.0
3,200,15,1D,normal,burial,0,Candidate 6,Candidate 4,1.0943790770045692,Candidate 13,1.0833009734874257,Candidate 4,1.0943790770045692,Candidate 6,1.0,Candidate 1,1.0004737754508328
4,200,15,1D,normal,burial,0,Candidate 6,Candidate 6,1.0,Candidate 10,2.4064771663816673,Candidate 4,1.0030601724829242,Candidate 4,1.0030601724829242,Candidate 4,1.0030601724829242
5,200,15,1D,normal,burial,0,Candidate 7,Candidate 12,1.640401282508452,Candidate 1,1.0663583877552856,Candidate 10,1.1433277133939195,Candidate 7,1.0,Candidate 7,1.0
6,200,15,1D,normal,burial,0,Candidate 4,Candidate 4,1.0,Candidate 5,1.2905738628137302,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
7,200,15,1D,normal,burial,0,Candidate 0,Candidate 13,1.0058056318729336,Candidate 11,1.1705580388042647,Candidate 11,1.1705580388042647,Candidate 0,1.0,Candidate 0,1.0
8,200,15,1D,normal,burial,0,Candidate 7,Candidate 7,1.0,Candidate 11,1.7630230357705325,Candidate 7,1.0,Candidate 2,1.0745378384775928,Candidate 7,1.0
9,200,15,1D,normal,burial,0,Candidate 10,Candidate 12,1.2834716176831997,Candidate 12,1.2834716176831997,Candidate 12,1.2834716176831997,Candidate 5,1.0034262457026129,Candidate 5,1.0034262457026129
10,200,15,1D,normal,burial,0,Candidate 0,Candidate 5,1.2136976332049465,Candidate 12,1.0476029649640741,Candidate 5,1.2136976332049465,Candidate 0,1.0,Candidate 0,1.0
11,200,15,1D,normal,burial,0,Candidate 1,Candidate 5,1.0657096341815315,Candidate 10,1.142560732116605,Candidate 5,1.0657096341815315,Candidate 3,1.0005619758430075,Candidate 1,1.0
12,200,15,1D,normal,burial,0,Candidate 1,Candidate 1,1.0,Candidate 9,2.6810873629646506,Candidate 0,1.1231361534804511,Candidate 1,1.0,Candidate 1,1.0
